Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,Graph
CyberFi,$0.189477,-0.6%,-5.2%,-3.4%,"$25,015.98","$309,256",https://www.coingecko.com/coins/13112/sparkline
Türkiye Basketbol Federasyonu Fan Token,$0.030692134404,-0.7%,-3.5%,-28.3%,"$1,048.50","$308,954",https://www.coingecko.com/coins/17649/sparkline
True PNL,$0.028403880810,0.6%,-0.6%,-2.1%,"$15,367.95","$308,884",https://www.coingecko.com/coins/15282/sparkline
DATA,$0.000027934981,-0.8%,4.7%,16.5%,"$124,506","$308,393",https://www.coingecko.com/coins/2604/sparkline
USK,$1.02,?,?,?,?,"$307,713",https://www.coingecko.com/coins/27274/sparkline
Hiveterminal,$0.000853990429,0.9%,-8.2%,18.3%,"$14,351.54","$307,193",https://www.coingecko.com/coins/899/sparkline
KuSwap,$0.023721947179,0.1%,-0.5%,-4.0%,$951.98,"$304,385",https://www.coingecko.com/coins/16917/sparkline
Zippie,$0.000751770000,0.0%,0.0%,,$0.290971,"$304,287",https://www.coingecko.com/coins/4302/sparkline
Professional Fighters League Fan Token,$0.293591,0.2%,1.4%,-19.5%,"$32,731.38","$304,092",https://www.coingecko.com/coins/14721/sparkline
Zoracles,$33.67,0.5%,-3.5%,-1.3%,"$18,385.39","$303,782",https://www.coingecko.com/coins/13255/sparkline
DarkCrypto,$0.005593162841,-0.3%,-0.4%,-8.7%,"$2,491.22","$303,338",https://www.coingecko.com/coins/22456/sparkline
MBD Financials,$0.000012560289,,-0.0%,-32.8%,$6.80,"$302,469",https://www.coingecko.com/coins/25617/sparkline
Seba,$0.001550287793,0.0%,-0.0%,10.7%,"$7,413.73","$302,302",https://www.coingecko.com/coins/24475/sparkline
Elpis Battle,$0.003892002698,,-0.1%,7.0%,$127.65,"$301,861",https://www.coingecko.com/coins/20642/sparkline
Katalyo,$0.023110484347,-0.2%,7.6%,4.4%,"$15,563.93","$301,637",https://www.coingecko.com/coins/13347/sparkline
Cronosphere,$0.386077,-0.2%,-7.7%,-13.3%,"$1,311.16","$300,031",https://www.coingecko.com/coins/23452/sparkline
Inflation Adjusted USDS,$0.419072,-1.2%,-5.6%,-3.1%,$6.07,"$299,588",https://www.coingecko.com/coins/25698/sparkline
EarthFund,$0.000841833014,-1.3%,-1.5%,-8.1%,"$106,545","$299,255",https://www.coingecko.com/coins/20822/sparkline
WePower,$0.000489776527,0.0%,0.0%,-0.2%,$362.70,"$298,187",https://www.coingecko.com/coins/1951/sparkline
Lendingblock,$0.000413419825,?,?,?,?,"$297,855",https://www.coingecko.com/coins/2988/sparkline
PegNet,$0.000090497668,?,?,?,?,"$297,124",https://www.coingecko.com/coins/10016/sparkline
Golden Ball,$0.000004525532,-11.3%,14.8%,95.0%,"$85,269.31","$296,625",https://www.coingecko.com/coins/20274/sparkline
X8X,$0.003820915452,0.6%,0.9%,-2.6%,$182.09,"$296,444",https://www.coingecko.com/coins/1912/sparkline
Pist Trust,$0.009968791936,?,?,?,?,"$295,683",https://www.coingecko.com/coins/16397/sparkline
Giga Watt,$0.046304363114,?,?,?,?,"$295,622",https://www.coingecko.com/coins/907/sparkline
Delphy,$0.004841977907,0.1%,-0.7%,-6.1%,"$13,367.50","$295,454",https://www.coingecko.com/coins/1133/sparkline
Governor DAO,$0.099719294601,1.0%,-4.1%,-9.2%,"$27,502.95","$295,421",https://www.coingecko.com/coins/13140/sparkline
Denarius,$0.038792167280,?,?,?,?,"$295,416",https://www.coingecko.com/coins/760/sparkline
LITEX,$0.000216836864,-0.2%,0.3%,-11.6%,"$27,791.93","$295,346",https://www.coingecko.com/coins/5133/sparkline
EUNO,$0.000043876769,0.1%,1.5%,-24.6%,$256.67,"$294,660",https://www.coingecko.com/coins/5190/sparkline
Bitball,$0.000461551803,-0.0%,28.0%,-6.0%,$1.57,"$294,653",https://www.coingecko.com/coins/7039/sparkline
BNSD Finance,$0.001629199271,0.0%,4.8%,-2.7%,"$103,291","$294,432",https://www.coingecko.com/coins/12368/sparkline
Solvent,$0.018366514317,-0.1%,-0.3%,-3.4%,"$12,210.68","$294,345",https://www.coingecko.com/coins/22387/sparkline
VEIL,$0.002318180861,0.2%,17.1%,15.6%,$12.16,"$293,309",https://www.coingecko.com/coins/7771/sparkline
Landshare,$0.576871,-0.2%,-3.7%,-2.0%,"$48,866.88","$292,622",https://www.coingecko.com/coins/17507/sparkline
Lucretius,$0.000974627578,-2.1%,-6.7%,-20.8%,"$132,630","$292,430",https://www.coingecko.com/coins/24205/sparkline
Akropolis,$0.002916255812,-1.0%,2.7%,3.9%,"$1,452,984","$292,365",https://www.coingecko.com/coins/3328/sparkline
Axioms,$0.008319045874,?,?,?,?,"$292,356",https://www.coingecko.com/coins/12562/sparkline
Pixl Coin,$0.000478410620,,-2.6%,11.1%,$1.32,"$290,628",https://www.coingecko.com/coins/18793/sparkline
Polinate,$0.001285902508,0.5%,-0.2%,1.9%,"$20,516.49","$290,608",https://www.coingecko.com/coins/18096/sparkline
GetKicks,$0.001399854647,-0.4%,-2.8%,-18.3%,"$1,643,346","$289,945",https://www.coingecko.com/coins/27873/sparkline
Skull,$0.030185950749,?,?,?,?,"$289,645",https://www.coingecko.com/coins/10641/sparkline
Darwinia Commitment,$6.63,-0.3%,-5.9%,-6.3%,"$16,217.57","$289,264",https://www.coingecko.com/coins/11895/sparkline
TEN,$0.010157839917,-0.2%,1.2%,25.4%,$312.89,"$289,006",https://www.coingecko.com/coins/15631/sparkline
TrueChain,$0.012214574683,0.2%,0.5%,1.2%,"$52,489.01","$288,393",https://www.coingecko.com/coins/2639/sparkline
Bitspawn,$0.000401181636,0.8%,0.6%,3.8%,$48.37,"$288,221",https://www.coingecko.com/coins/16513/sparkline
Wings,$0.003151708861,?,?,?,?,"$287,957",https://www.coingecko.com/coins/648/sparkline
Nyzo,$0.013089159185,0.1%,-11.4%,-12.9%,"$19,400.89","$287,817",https://www.coingecko.com/coins/7888/sparkline
Türkiye Motosiklet Federasyonu Fan Token,$0.007063739303,-2.0%,-11.9%,-42.0%,$769.50,"$287,794",https://www.coingecko.com/coins/26020/sparkline
Mimas Finance,$0.004557164183,-3.4%,-6.4%,-21.5%,"$4,593.42","$286,834",https://www.coingecko.com/coins/22516/sparkline
GOGOcoin,$0.017988687408,?,?,?,?,"$286,540",https://www.coingecko.com/coins/21341/sparkline
USD Balance,$0.998071,?,?,?,?,"$286,501",https://www.coingecko.com/coins/24341/sparkline
Props,$0.001048944138,0.1%,-2.8%,16.8%,"$14,518.05","$286,220",https://www.coingecko.com/coins/6735/sparkline
T-mac DAO,$0.244086,0.1%,-0.1%,-1.0%,"$72,246.95","$285,485",https://www.coingecko.com/coins/28117/sparkline
Bacon Coin,$0.004421187521,?,?,?,?,"$285,197",https://www.coingecko.com/coins/25173/sparkline
Jungle DeFi,$0.147141,0.6%,1.2%,-17.6%,$786.46,"$284,950",https://www.coingecko.com/coins/23679/sparkline
Snetwork,$0.001196603607,-0.2%,-0.2%,3.7%,"$12,174.49","$284,815",https://www.coingecko.com/coins/5382/sparkline
Zeedex,$0.043269060200,0.5%,0.9%,6.8%,$158.55,"$284,734",https://www.coingecko.com/coins/12412/sparkline
Graphene,$0.006882128921,0.5%,-2.1%,-27.3%,"$3,930.22","$284,491",https://www.coingecko.com/coins/19159/sparkline
Yield Optimization Platform & Protocol,$0.028710871882,2.0%,4.5%,1.1%,"$56,534.29","$284,400",https://www.coingecko.com/coins/13678/sparkline
Kitty Coin,$0.000000000283,-0.1%,0.8%,-0.1%,$57.32,"$283,605",https://www.coingecko.com/coins/19555/sparkline
FoundryDAO Logistics,$0.000287656495,?,?,?,?,"$283,119",https://www.coingecko.com/coins/12348/sparkline
Spaceswap MILK2,$0.012263063609,-0.9%,1.3%,-9.2%,"$17,529.69","$282,898",https://www.coingecko.com/coins/12771/sparkline
BITT,$0.029094308632,1.2%,1.2%,8.2%,"$15,330.20","$282,613",https://www.coingecko.com/coins/13783/sparkline
Fabwelt,$0.001312270056,0.8%,0.9%,3.3%,"$426,871","$282,153",https://www.coingecko.com/coins/20505/sparkline
PolygonumOnline,$0.006700522271,-0.3%,-0.8%,-3.5%,"$9,039.99","$281,844",https://www.coingecko.com/coins/21053/sparkline
PowerTrade Fuel,$0.011024248412,-5.8%,-1.3%,2.8%,"$47,910.54","$281,134",https://www.coingecko.com/coins/12590/sparkline
Moonwell Apollo,$0.001495678777,-0.9%,1.8%,1.7%,"$1,239.66","$280,986",https://www.coingecko.com/coins/23914/sparkline
Freedom Reserve,$0.003973999668,4.5%,0.2%,-0.9%,$159.66,"$280,513",https://www.coingecko.com/coins/13342/sparkline
0xMonero,$0.150140,0.1%,0.7%,16.6%,$4.87,"$280,181",https://www.coingecko.com/coins/11035/sparkline
Trava Finance,$0.000320121019,-0.1%,-1.3%,8.0%,"$31,788.23","$279,777",https://www.coingecko.com/coins/17553/sparkline
Crypto Fight Club,$0.000999598286,0.1%,-4.9%,-29.3%,"$12,901.86","$278,996",https://www.coingecko.com/coins/21695/sparkline
Relevant,$0.031189078034,0.1%,-0.1%,-9.3%,$28.52,"$278,902",https://www.coingecko.com/coins/11586/sparkline
AGA,$0.061900726609,0.0%,0.8%,-1.3%,$65.16,"$278,725",https://www.coingecko.com/coins/12180/sparkline
Crypto Royale,$0.004538836506,47.5%,49.0%,31.8%,"$2,941.60","$278,610",https://www.coingecko.com/coins/20668/sparkline
MediShares,$0.000243237145,0.1%,-0.4%,0.5%,"$12,074.21","$278,500",https://www.coingecko.com/coins/1343/sparkline
Reward Hunters,$0.000346205339,-0.1%,-1.9%,8.2%,$946.09,"$277,422",https://www.coingecko.com/coins/18086/sparkline
Sensi,$0.001353733144,-0.2%,5.3%,94.0%,$682.41,"$277,385",https://www.coingecko.com/coins/25449/sparkline
Ares Protocol,$0.001199786117,0.1%,-1.2%,-5.5%,"$23,857.57","$277,110",https://www.coingecko.com/coins/15153/sparkline
TradeFlow,$0.053646505882,-0.1%,3.2%,5.0%,"$107,778","$276,141",https://www.coingecko.com/coins/27843/sparkline
Husky AVAX,$0.000000003106,0.2%,0.8%,0.2%,$26.20,"$275,944",https://www.coingecko.com/coins/17812/sparkline
RELEASE,$0.000002920563,1.4%,3.4%,3.8%,"$10,578.54","$275,788",https://www.coingecko.com/coins/5387/sparkline
Cool Cats Milk,$0.000157887735,0.6%,-0.8%,-11.1%,$369.98,"$275,618",https://www.coingecko.com/coins/23340/sparkline
OptionRoom,$0.021928804018,10.1%,12.0%,31.6%,"$35,427.09","$275,380",https://www.coingecko.com/coins/13889/sparkline
Game of Dragons,$0.002737426894,-0.1%,2.2%,7.3%,$428.17,"$274,079",https://www.coingecko.com/coins/26211/sparkline
Rise of Defenders,$0.001811158934,0.0%,-0.2%,-2.3%,$326.80,"$274,018",https://www.coingecko.com/coins/22294/sparkline
indaHash,$0.000828058565,?,?,?,?,"$273,595",https://www.coingecko.com/coins/1909/sparkline
Velhalla,$0.001081983211,-0.0%,2.5%,-3.4%,"$1,167.92","$273,225",https://www.coingecko.com/coins/20421/sparkline
FIRA,$0.055600555865,-1.3%,-4.4%,-9.3%,"$5,791.56","$273,153",https://www.coingecko.com/coins/23983/sparkline
HashCoin,$0.000007401240,2.6%,2.4%,6.6%,"$9,345.38","$272,688",https://www.coingecko.com/coins/4989/sparkline
The Parallel,$0.008529411257,5.7%,5.1%,-0.7%,"$22,907.08","$272,204",https://www.coingecko.com/coins/22064/sparkline
Voltage Finance,$0.000229608679,0.0%,-2.7%,-5.2%,"$5,769.95","$272,141",https://www.coingecko.com/coins/21886/sparkline
DMM: Governance,$0.005466014704,0.7%,4.3%,-22.6%,"$49,905.25","$271,640",https://www.coingecko.com/coins/11677/sparkline
PieDAO DEFI++,$0.755272,?,?,?,?,"$271,521",https://www.coingecko.com/coins/13304/sparkline
Indorse,$0.006070467106,?,?,?,?,"$271,518",https://www.coingecko.com/coins/848/sparkline
ApolloFi,$0.000537094461,?,?,?,?,"$270,827",https://www.coingecko.com/coins/26451/sparkline
Legia Warsaw Fan Token,$0.402951,0.6%,0.2%,-28.0%,"$49,866.40","$270,406",https://www.coingecko.com/coins/15138/sparkline
Kalissa,$0.006281688604,-0.0%,0.4%,4.7%,"$5,310.89","$270,133",https://www.coingecko.com/coins/21261/sparkline
GazeTV,$0.000429927408,?,?,?,?,"$268,965",https://www.coingecko.com/coins/14717/sparkline
HorusPay,$0.000282095762,?,?,?,?,"$268,173",https://www.coingecko.com/coins/5319/sparkline
Football Battle,$0.133883,0.1%,-0.0%,-1.1%,$30.12,"$267,766",https://www.coingecko.com/coins/26124/sparkline
Envision,$0.015427584736,0.2%,0.3%,-28.3%,$273.41,"$266,784",https://www.coingecko.com/coins/23907/sparkline
Peachfolio,$0.000504981023,-0.2%,-1.0%,12.1%,"$1,134.53","$266,116",https://www.coingecko.com/coins/16529/sparkline
WolfSafePoorPeople,$0.000000000020,0.1%,-0.8%,18.4%,$269.93,"$265,565",https://www.coingecko.com/coins/17090/sparkline
PureFi,$0.006166893056,-2.3%,-3.4%,19.7%,"$25,807.66","$264,684",https://www.coingecko.com/coins/17341/sparkline
Fastswap (BSC),$0.000720379784,-0.2%,1.5%,11.4%,"$15,319.38","$264,412",https://www.coingecko.com/coins/19218/sparkline
AceStarter,$0.003337404996,0.1%,-0.1%,,$53.42,"$264,083",https://www.coingecko.com/coins/24355/sparkline
Vibing,$0.099225016611,0.2%,0.3%,-1.0%,"$29,617.53","$263,119",https://www.coingecko.com/coins/27549/sparkline
Zodium,$0.001148465780,-13.0%,28.8%,19.4%,"$40,780.40","$263,029",https://www.coingecko.com/coins/21181/sparkline
UniMex Network,$0.034499914484,0.0%,0.8%,5.1%,"$76,885.27","$262,155",https://www.coingecko.com/coins/13615/sparkline
Bull Coin,$0.000000000524,,-1.0%,14.4%,$154.25,"$261,765",https://www.coingecko.com/coins/15975/sparkline
Cheems,$0.000107325612,1.4%,-0.0%,-9.1%,$244.14,"$261,712",https://www.coingecko.com/coins/18358/sparkline
OST,$0.000377346104,0.2%,5.2%,-1.3%,"$11,845.36","$260,937",https://www.coingecko.com/coins/1367/sparkline
Nami Corporation,$0.006341141155,0.1%,0.3%,-0.7%,$167.30,"$260,618",https://www.coingecko.com/coins/13729/sparkline
PinkMoon,$0.000000000659,-0.2%,-0.7%,12.9%,$52.42,"$260,360",https://www.coingecko.com/coins/15018/sparkline
Racing Club Fan Token,$0.587104,-0.1%,-0.1%,-31.3%,"$72,071.73","$259,998",https://www.coingecko.com/coins/23144/sparkline
Shard Coin,$0.008437054730,,0.1%,,$1.09,"$259,444",https://www.coingecko.com/coins/3527/sparkline
.Alpha,$41.08,?,?,?,?,"$258,461",https://www.coingecko.com/coins/24340/sparkline
Digital Reserve Currency,$0.000258284485,1.2%,2.2%,9.0%,"$15,452.37","$258,298",https://www.coingecko.com/coins/12802/sparkline
Mettalex,$0.065166946178,0.8%,-8.2%,-12.1%,"$6,261.49","$258,247",https://www.coingecko.com/coins/12730/sparkline
ADABoy,$0.000002741821,?,?,?,?,"$257,097",https://www.coingecko.com/coins/19096/sparkline
Shibavax,$0.000026386162,?,?,?,?,"$257,056",https://www.coingecko.com/coins/17913/sparkline
BNS Token [OLD],$0.000615533393,?,?,?,?,"$256,472",https://www.coingecko.com/coins/11926/sparkline
Rare,$0.026855399552,0.0%,2.0%,65.0%,$78.33,"$255,922",https://www.coingecko.com/coins/12868/sparkline
veDAO,$0.000858887222,0.3%,-0.9%,-4.0%,"$9,443.39","$255,157",https://www.coingecko.com/coins/22741/sparkline
Shiba Punkz,$0.273427,0.2%,-12.8%,7.4%,"$2,096.93","$254,640",https://www.coingecko.com/coins/27163/sparkline
Number 1,$0.012675051727,0.1%,-2.1%,-16.6%,$15.31,"$253,288",https://www.coingecko.com/coins/17763/sparkline
Omni Real Estate,$0.006834453721,-0.1%,0.2%,14.7%,$23.21,"$252,123",https://www.coingecko.com/coins/15538/sparkline
Evedo,$0.016723915268,0.1%,11.3%,29.9%,"$48,508.07","$251,163",https://www.coingecko.com/coins/7721/sparkline
Brokoli,$0.006192670846,0.1%,0.3%,-15.7%,"$9,720.72","$250,917",https://www.coingecko.com/coins/18763/sparkline
Infinito,$0.000202408566,?,?,?,?,"$250,611",https://www.coingecko.com/coins/9461/sparkline
The HUSL,$0.015755823750,-2.4%,3.2%,-25.6%,"$7,567.36","$250,058",https://www.coingecko.com/coins/18619/sparkline
Tycoon,$0.002715505847,0.3%,-0.1%,1.0%,"$3,631.44","$249,676",https://www.coingecko.com/coins/15165/sparkline
PathFundV2,$0.002594837737,-0.3%,-1.5%,8.4%,$297.08,"$249,125",https://www.coingecko.com/coins/24795/sparkline
Merkle Network,$0.026586456407,-0.0%,-1.9%,2.9%,"$2,311.54","$248,976",https://www.coingecko.com/coins/19838/sparkline
RAC,$0.404544,?,?,?,?,"$248,430",https://www.coingecko.com/coins/12675/sparkline
Bright Union,$0.009866869590,-0.1%,1.0%,6.5%,"$14,239.63","$247,949",https://www.coingecko.com/coins/17552/sparkline
Mars,$0.000740079177,-0.4%,-9.5%,79.2%,"$254,505","$247,714",https://www.coingecko.com/coins/13654/sparkline
Potcoin,$0.002152596514,0.1%,8.5%,6.2%,$30.48,"$247,560",https://www.coingecko.com/coins/51/sparkline
DeHive,$0.061813318854,0.7%,4.5%,3.0%,"$41,614.06","$247,439",https://www.coingecko.com/coins/14926/sparkline
OIN Finance,$0.013575512837,-0.2%,0.3%,4.4%,"$43,934.63","$244,952",https://www.coingecko.com/coins/12339/sparkline
Rabbit Finance,$0.002295941912,-0.2%,-0.9%,-5.4%,"$8,014.24","$244,833",https://www.coingecko.com/coins/16240/sparkline
Upfiring,$0.010200138006,?,?,?,?,"$244,803",https://www.coingecko.com/coins/1170/sparkline
GemLink,$0.003808439986,0.1%,0.3%,-12.4%,$293.94,"$243,946",https://www.coingecko.com/coins/24212/sparkline
Apricot,$0.001482175652,-0.4%,0.3%,-17.4%,"$10,431.42","$243,781",https://www.coingecko.com/coins/20636/sparkline
TrustFi Network,$0.009271356312,-0.1%,-1.0%,8.9%,$58.54,"$243,720",https://www.coingecko.com/coins/16297/sparkline
Dynamix,$0.000000000460,-0.2%,-0.7%,14.2%,$39.18,"$243,346",https://www.coingecko.com/coins/18747/sparkline
Everlens,$0.000347689714,-0.1%,-5.7%,10.9%,$968.95,"$243,174",https://www.coingecko.com/coins/20829/sparkline
Avaxlauncher,$0.000364359781,-0.2%,7.5%,2.1%,"$3,016.25","$242,687",https://www.coingecko.com/coins/18270/sparkline
NFTify,$0.011906365551,0.1%,0.8%,1.4%,$82.62,"$242,552",https://www.coingecko.com/coins/16095/sparkline
KittenFinance,$6.39,0.3%,2.3%,-2.6%,"$13,475.71","$241,986",https://www.coingecko.com/coins/12340/sparkline
Shack,$0.000235625032,1.3%,-0.0%,-3.5%,$919.17,"$241,157",https://www.coingecko.com/coins/25699/sparkline
HeroFi,$0.000642366611,?,?,?,?,"$240,142",https://www.coingecko.com/coins/18249/sparkline
Spores Network,$0.000227899112,-0.3%,0.5%,17.1%,"$109,841","$240,030",https://www.coingecko.com/coins/17431/sparkline
Shuey Rhon Inu,$0.000005442826,?,?,?,?,"$239,648",https://www.coingecko.com/coins/24306/sparkline
Ultrain,$0.000847153127,-0.6%,2.7%,6.5%,"$75,546.33","$239,490",https://www.coingecko.com/coins/4684/sparkline
Squid Moon,$0.054532581252,?,?,?,?,"$239,340",https://www.coingecko.com/coins/20560/sparkline
Mu Continent,$0.000002653882,?,?,?,?,"$238,987",https://www.coingecko.com/coins/18227/sparkline
Alpaca City,$0.021875578961,-0.1%,5.2%,-2.4%,"$31,142.16","$238,851",https://www.coingecko.com/coins/13070/sparkline
Dinamo Zagreb Fan Token,$0.326555,-0.8%,1.9%,-27.2%,"$1,724.21","$238,480",https://www.coingecko.com/coins/18757/sparkline
MetaBrands,$0.016299802457,-0.5%,-6.7%,1.0%,"$19,087.19","$238,413",https://www.coingecko.com/coins/21244/sparkline
Blockmason Credit Protocol,$0.002051334570,,-1.3%,-5.0%,$0.012407265546,"$238,280",https://www.coingecko.com/coins/1022/sparkline
Flits,$0.035548004089,0.0%,-22.1%,-19.9%,$21.15,"$238,181",https://www.coingecko.com/coins/8579/sparkline
Creaticles,$0.002004084920,?,?,?,?,"$237,916",https://www.coingecko.com/coins/21115/sparkline
Kawakami,$0.000000240650,,0.5%,-22.4%,$125.04,"$237,899",https://www.coingecko.com/coins/16369/sparkline
Hulk Inu,$0.000000040371,-0.0%,1.9%,-12.4%,$350.00,"$237,271",https://www.coingecko.com/coins/26358/sparkline
Wallet Swap,$0.000000047649,0.2%,-1.3%,8.1%,"$7,313.38","$237,137",https://www.coingecko.com/coins/17506/sparkline
Kawaii Islands,$0.000920428055,-0.5%,-0.4%,4.9%,$40.99,"$236,773",https://www.coingecko.com/coins/18880/sparkline
disBalancer,$0.035292135235,0.1%,10.3%,14.6%,"$10,927.04","$236,747",https://www.coingecko.com/coins/14791/sparkline
Pascal,$0.006126190409,-4.9%,0.3%,233.2%,$247.75,"$236,051",https://www.coingecko.com/coins/547/sparkline
Amun Polygon Ecosystem Index,$2.81,?,?,?,?,"$235,015",https://www.coingecko.com/coins/19270/sparkline
Merge,$0.002980543304,0.2%,42.0%,-5.5%,$45.22,"$234,480",https://www.coingecko.com/coins/8769/sparkline
Portion,$0.001401022048,?,?,?,?,"$234,108",https://www.coingecko.com/coins/13617/sparkline
DogeCash,$0.012428787733,0.2%,0.4%,-3.4%,$844.51,"$234,077",https://www.coingecko.com/coins/6421/sparkline
TribeOne,$0.007524183455,-1.5%,0.5%,-6.8%,"$17,964.37","$234,000",https://www.coingecko.com/coins/16575/sparkline
AlgoBlocks,$0.006574725111,-0.5%,0.2%,-3.5%,"$187,228","$233,723",https://www.coingecko.com/coins/25120/sparkline
SolDoge,$0.000023331915,13.2%,-1.4%,-1.1%,"$36,041.06","$233,212",https://www.coingecko.com/coins/19746/sparkline
Kally,$0.003711250661,?,?,?,?,"$233,190",https://www.coingecko.com/coins/15812/sparkline
Cryptomeda,$0.000846072617,0.0%,1.2%,9.0%,"$15,269.67","$232,426",https://www.coingecko.com/coins/17983/sparkline
Savedroid,$0.000076355536,0.6%,1.4%,3.4%,$76.36,"$230,852",https://www.coingecko.com/coins/2852/sparkline
DYOR,$0.000002903412,-0.2%,0.7%,17.4%,$213.33,"$230,731",https://www.coingecko.com/coins/23654/sparkline
NeuroChain,$0.000532337674,?,?,?,?,"$230,363",https://www.coingecko.com/coins/3367/sparkline
Bot Planet,$0.001552034639,-0.2%,-8.0%,-18.6%,$211.78,"$230,280",https://www.coingecko.com/coins/24650/sparkline
Meta BSC,$0.000000229901,-0.1%,-0.5%,18.4%,$44.65,"$229,901",https://www.coingecko.com/coins/22243/sparkline
Unique Utility,$0.003537329328,0.2%,-0.2%,1.1%,$78.45,"$229,440",https://www.coingecko.com/coins/23382/sparkline
xMooney,$0.000038044015,,0.0%,14.1%,$125.46,"$229,309",https://www.coingecko.com/coins/20576/sparkline
Marginswap,$0.032367474761,0.2%,7.5%,-1.2%,"$13,182.33","$228,910",https://www.coingecko.com/coins/13899/sparkline
Play It Forward DAO,$0.006311207097,-0.3%,-0.2%,1.6%,"$29,277.52","$228,825",https://www.coingecko.com/coins/22904/sparkline
Freicoin,$0.001994200045,?,?,?,?,"$227,729",https://www.coingecko.com/coins/30/sparkline
OpenSwap,$0.004969363636,-0.3%,-0.6%,12.6%,$222.35,"$227,430",https://www.coingecko.com/coins/15785/sparkline
Defi Warrior,$0.000098530382,-5.5%,0.8%,40.4%,"$38,947.51","$227,184",https://www.coingecko.com/coins/18208/sparkline
MobiFi,$0.002584187324,-0.1%,15.7%,10.1%,"$91,441.00","$226,081",https://www.coingecko.com/coins/14697/sparkline
UnlimitedIP,$0.000176032792,0.0%,-0.0%,-4.9%,"$53,010.62","$225,476",https://www.coingecko.com/coins/2642/sparkline
SuperCoin,$0.004145560000,?,?,?,?,"$224,994",https://www.coingecko.com/coins/200/sparkline
4thpillar technologies,$0.001333878248,-0.0%,1.3%,3.5%,"$14,290.17","$224,678",https://www.coingecko.com/coins/3434/sparkline
Novara Calcio Fan Token,$0.635740,0.4%,0.8%,-30.4%,"$79,154.71","$224,253",https://www.coingecko.com/coins/13883/sparkline
Chain Wars,$0.005018506204,-0.0%,15.1%,9.9%,"$1,079.78","$224,167",https://www.coingecko.com/coins/21376/sparkline
YOYOW,$0.001278136741,0.0%,3.3%,2.4%,"$8,449.15","$223,469",https://www.coingecko.com/coins/1270/sparkline
Koinos,$0.002237209676,0.0%,25.0%,-23.8%,$288.20,"$223,411",https://www.coingecko.com/coins/13116/sparkline
Rogue Coin,$0.005364083234,?,?,?,?,"$223,389",https://www.coingecko.com/coins/18569/sparkline
Demeter,$0.125197,-4.5%,-2.6%,11.7%,"$2,150.73","$223,127",https://www.coingecko.com/coins/25582/sparkline
Corite,$0.013082428604,-2.1%,-2.7%,-22.8%,"$173,056","$222,734",https://www.coingecko.com/coins/25969/sparkline
Solanax,$0.004926321894,1.3%,6.9%,-8.4%,$126.73,"$222,618",https://www.coingecko.com/coins/17634/sparkline
Penguin Finance,$0.011637650649,0.4%,1.3%,0.5%,$154.84,"$222,516",https://www.coingecko.com/coins/14643/sparkline
BitOrbit,$0.005041528239,2.2%,1.6%,13.4%,$37.08,"$222,220",https://www.coingecko.com/coins/19850/sparkline
SAKE,"$1,109.88",?,?,?,?,"$221,976",https://www.coingecko.com/coins/15890/sparkline
Coliquidity,$0.000620532484,?,?,?,?,"$221,760",https://www.coingecko.com/coins/15813/sparkline
Dot Dot Finance,$0.001308235693,-0.1%,-0.7%,-12.8%,"$2,041.90","$220,967",https://www.coingecko.com/coins/25212/sparkline
Vera,$0.002098383129,4.4%,-14.8%,-21.8%,"$6,141.71","$220,449",https://www.coingecko.com/coins/18519/sparkline
Grape Protocol,$0.002208948738,1.0%,-0.7%,-14.7%,$980.09,"$220,086",https://www.coingecko.com/coins/18149/sparkline
FoxGirl,$0.000000002190,-0.2%,-1.5%,11.7%,$4.84,"$219,262",https://www.coingecko.com/coins/19448/sparkline
Machi X,$0.000688503951,?,?,?,?,"$218,628",https://www.coingecko.com/coins/11329/sparkline
Starbots,$0.007881773799,1.5%,0.2%,-2.1%,$108.38,"$218,556",https://www.coingecko.com/coins/21823/sparkline
Edenchain,$0.000365286089,?,?,?,?,"$218,279",https://www.coingecko.com/coins/3292/sparkline
MoonLana,$0.000052119877,1.1%,-2.8%,-4.1%,$272.04,"$218,045",https://www.coingecko.com/coins/16278/sparkline
ODEM,$0.000980263490,-1.0%,33.4%,14.2%,$8.74,"$217,504",https://www.coingecko.com/coins/3752/sparkline
Basis Cash,$0.003948861427,-0.4%,-3.2%,0.3%,"$23,807.93","$217,146",https://www.coingecko.com/coins/13246/sparkline
CheckDot,$0.029252564623,-0.2%,-1.5%,-10.6%,$552.23,"$216,193",https://www.coingecko.com/coins/20370/sparkline
IxiCash,$0.000039404216,0.0%,0.2%,-16.0%,$62.16,"$216,161",https://www.coingecko.com/coins/8368/sparkline
GoWithMi,$0.000085372454,-0.2%,0.2%,-1.3%,"$11,152.58","$214,847",https://www.coingecko.com/coins/7162/sparkline
BasketDAO DeFi Index,$90.47,?,?,?,?,"$214,121",https://www.coingecko.com/coins/14664/sparkline
Crodex,$2.14,-0.0%,-2.5%,-16.7%,"$2,060.04","$213,648",https://www.coingecko.com/coins/21771/sparkline
Treasure Under Sea,$0.000106516984,1.9%,6.7%,-1.9%,"$44,493.63","$213,024",https://www.coingecko.com/coins/20012/sparkline
Polis,$0.013834887285,?,?,?,?,"$213,020",https://www.coingecko.com/coins/2452/sparkline
